Country Name,Country Code,Region,Income group,Year,Energy use (kg of oil equivalents per capita),Population,CO2 emissions (metric tons per capita),Renewable energy consumption (% of energy),"GDP per capita, PPP",Electric power consumption (kWh per capita),Access to electricity (% of population),Forest area (% of land)
Cambodia,KHM,East Asia & Pacific,Lower middle income,1990,,8973342,0.140577279,,,,0.010000000,73.328801269
Kiribati,KIR,East Asia & Pacific,Lower middle income,1990,98.224810805,72412,0.303844667,5.220941832,1256.210651178,,31.559732437,14.999999529
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,1990,528.991771563,40834,2.604275849,40.032326176,9865.044070037,,87.542396545,42.307692308
"Korea, Rep.",KOR,East Asia & Pacific,High income,1990,2167.339607709,42869283,5.760374252,1.631946867,8276.034959033,2373.214406222,,66.037735849
Kuwait,KWT,Middle East & North Africa,High income,1990,4338.508726600,2099615,24.290470396,0.165242348,,8206.266386933,100,0.193602696
Lao PDR,LAO,East Asia & Pacific,Lower middle income,1990,,4258472,0.049944205,88.445097009,1103.958955549,,15.302614212,76.451041554
Lebanon,LBN,Middle East & North Africa,Upper middle income,1990,722.857356375,2703016,3.038857336,11.341680910,3742.375349594,517.939960400,97.908699036,12.805474096
Liberia,LBR,Sub-Saharan Africa,Low income,1990,,2097232,0.225555876,88.817239138,,,0.010000000,51.173172757
Libya,LBY,Middle East & North Africa,Upper middle income,1990,2517.101937696,4436661,8.290020355,3.129308451,,1576.861518155,99.835929871,0.123327688
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,1990,404.672721352,138185,1.167623114,5.467459385,6206.229662036,,83.723205566,35.737703667
Liechtenstein,LIE,Europe & Central Asia,High income,1990,,28747,,,,,100,40.625
Sri Lanka,LKA,South Asia,Lower middle income,1990,318.307752702,17329713,0.223239992,78.087244904,2334.773789980,151.416240996,52.937641144,36.421623346
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,1990,,1603938,0.919071685,52.027979250,891.529024000,,0.010000000,1.317523057
Lithuania,LTU,Europe & Central Asia,High income,1990,4344.172730120,3697838,,3.096778514,,4023.432070307,100,31.030631780
Luxembourg,LUX,Europe & Central Asia,High income,1990,8874.105015058,381850,26.197658767,1.721832398,29680.287519519,13667.670551264,100,
Latvia,LVA,Europe & Central Asia,High income,1990,2949.284137475,2663151,,17.569690519,,3396.728161490,100,51.016142517
"Macao SAR, China",MAC,East Asia & Pacific,High income,1990,,343935,3.006655327,0.660982960,26089.456550703,,,
St. Martin (French part),MAF,Latin America & Caribbean,High income,1990,,30036,,,,,41.978103638,18.382352941
Morocco,MAR,Middle East & North Africa,Lower middle income,1990,306.219355849,24879136,0.946260352,19.482555741,2528.458556106,358.131407779,48.116264343,11.100156845
Monaco,MCO,Europe & Central Asia,High income,1990,,29439,,,,,100,
Moldova,MDA,Europe & Central Asia,Lower middle income,1990,2676.538690476,3696000,,1.140957938,,3235.389610390,94.919433594,9.704898083
Madagascar,MDG,Sub-Saharan Africa,Low income,1990,,11598633,0.081884908,85.647276833,1068.491219338,,9.571782112,23.544382158
Maldives,MDV,South Asia,Upper middle income,1990,228.017561544,223215,0.772121049,4.458738895,,,73.088142395,3.333333333
Mexico,MEX,Latin America & Caribbean,Upper middle income,1990,1448.968363481,85357874,3.730500739,14.413301688,6003.536665292,1165.399222572,94.264572144,35.885696649
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,1990,,47298,1.007886169,,1879.459551218,,52.441909790,
North Macedonia,MKD,Europe & Central Asia,Upper middle income,1990,1240.934903227,1996228,,2.410188215,5531.935632465,2667.530963397,94.339447021,35.863153755
Mali,MLI,Sub-Saharan Africa,Low income,1990,,8465188,0.049816377,88.637566825,822.002532967,,0.010000000,5.482752686
Malta,MLT,Middle East & North Africa,High income,1990,1961.642713951,354170,6.098379309,0,9343.993671887,2823.502837620,100,1.093749981
Myanmar,MMR,East Asia & Pacific,Lower middle income,1990,262.869720932,40626250,0.105245303,90.907347210,480.206636904,44.872465463,35.652030945,60.008568718
Montenegro,MNE,Europe & Central Asia,Upper middle income,1990,,606372,,,,,98.408164978,46.542750929
Mongolia,MNG,East Asia & Pacific,Lower middle income,1990,1560.479730055,2184145,4.573372189,1.892624430,3310.861431081,1489.369982304,68.112838745,8.069208785
Northern Mariana Islands,MNP,East Asia & Pacific,High income,1990,,42538,,,,,,
Mozambique,MOZ,Sub-Saharan Africa,Low income,1990,447.024977790,13247649,0.077228269,93.103561917,244.659208166,41.365830269,0.010000000,55.161626694
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,1990,,2030140,0.446151004,46.999743587,1814.084811339,,3.886186838,0.402638983
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,1990,629.382068900,1058775,1.381911171,47.067827440,4774.352413844,670.586290761,99.234420776,20.246304667
Malawi,MWI,Sub-Saharan Africa,Low income,1990,,9437553,0.079265038,84.030978049,480.999162177,,1.120719671,41.323716589
Malaysia,MYS,East Asia & Pacific,Upper middle income,1990,1210.396799126,18038321,3.137365778,11.980543609,6819.885821768,1156.814982947,93.955039978,68.105311216
Namibia,NAM,Sub-Saharan Africa,Upper middle income,1990,,1414692,0.028512920,,3740.167578456,,25.234790802,10.642665403
New Caledonia,NCL,East Asia & Pacific,High income,1990,,170899,9.269474953,10.157990833,,,,45.897155361
Niger,NER,Sub-Saharan Africa,Low income,1990,,8012861,0.091527858,,578.172581778,,2.290002346,1.535485908
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,1990,697.192079000,95269988,0.411426136,87.775972762,2170.889818682,87.026357136,27.3,18.922450234
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,1990,487.167652094,4144565,0.614917368,68.765936829,1934.790179860,308.355641666,66.828041077,37.510387236
Netherlands,NLD,Europe & Central Asia,High income,1990,4394.542089729,14951510,10.594475006,1.201611136,18910.912518735,5218.202041132,100,10.219194313
Norway,NOR,Europe & Central Asia,High income,1990,4966.893576831,4241473,7.429148081,59.173746415,18442.125359102,23353.915019617,100,33.216152816
Nepal,NPL,South Asia,Low income,1990,308.765408355,18749406,0.033835259,95.119714537,774.273246732,35.467790286,0.010000000,33.685314685
Nauru,NRU,East Asia & Pacific,Upper middle income,1990,,9155,13.618569088,0,,,100,0
New Zealand,NZL,East Asia & Pacific,High income,1990,3854.366027990,3329800,7.071237612,30.030592768,14874.731227954,8972.310649288,100,36.679199423
Oman,OMN,Middle East & North Africa,High income,1990,2328.297722055,1812160,6.283128973,0,22648.888827075,2186.892989581,,0.006462036
Pakistan,PAK,South Asia,Lower middle income,1990,398.405480962,107678614,0.636761224,57.500533244,1974.517293996,277.353124177,59.936603546,3.278071814
Panama,PAN,Latin America & Caribbean,High income,1990,603.347863160,2471009,1.120426919,43.589445645,5076.963601642,833.262849306,70.19,67.796610169
Peru,PER,Latin America & Caribbean,Upper middle income,1990,445.980552772,21826658,0.965359974,39.425828204,3433.763634382,546.350247482,60.223789215,60.87578125
Philippines,PHL,East Asia & Pacific,Lower middle income,1990,463.443035528,61947348,0.674176770,50.946567395,2591.926586158,360.741835147,62.114448547,21.984103028
Palau,PLW,East Asia & Pacific,High income,1990,4868.947242842,15088,15.554612937,,,,97.470451355,
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,1990,,4313059,0.496521842,71.700410756,1534.084289388,,5.114663601,74.254736563
Poland,POL,Europe & Central Asia,High income,1990,2705.608743478,38110782,9.667172140,2.501484839,6178.849301458,3272.302310669,100,28.995396520
Puerto Rico,PRI,Latin America & Caribbean,High income,1990,,3537000,,1.746942855,14366.163742651,,,32.356257046
"Korea, Dem. People’s Rep.",PRK,East Asia & Pacific,Low income,1990,1637.113861718,20293054,,7.189592068,,1237.418478264,0.010000000,68.108961050
Portugal,PRT,Europe & Central Asia,High income,1990,1680.962391085,9983218,4.239198924,26.944474927,11769.022485334,2541.865759117,100,37.551912568
Paraguay,PRY,Latin America & Caribbean,Upper middle income,1990,729.219301989,4213742,0.513446243,78.506452618,5139.119722328,505.488945455,80.423728943,53.251950667
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,1990,,1978248,,22.082082930,,,97.354026794,1.508305635
French Polynesia,PYF,East Asia & Pacific,High income,1990,,198375,2.199737870,4.731666167,,,100,15.027322404
Qatar,QAT,Middle East & North Africa,High income,1990,13698.286265991,476445,24.713738207,0,,9587.675387505,100,0
Romania,ROU,Europe & Central Asia,Upper middle income,1990,2683.178895118,23201835,7.503163349,3.355765883,5262.409289095,2924.596265769,100,27.778504469
Russian Federation,RUS,Europe & Central Asia,Upper middle income,1990,5928.660986432,148292000,,3.751939258,8012.802316866,6673.178593586,100,49.356465395
Rwanda,RWA,Sub-Saharan Africa,Low income,1990,,7235798,0.075004305,80.087558218,565.145362462,,0.010000000,12.890149980
Saudi Arabia,SAU,Middle East & North Africa,High income,1990,3552.714292408,16326815,11.380249179,0.037984679,27441.436180102,3994.839164895,,0.454484135
Sudan,SDN,Sub-Saharan Africa,Lower middle income,1990,412.455491628,20147590,0.202623461,73.266635134,1126.846780338,49.745849927,32.8,
Senegal,SEN,Sub-Saharan Africa,Low income,1990,223.197655466,7555617,0.421270162,55.551011131,1495.829917690,103.234454579,25.130535126,48.553472186
Singapore,SGP,East Asia & Pacific,High income,1990,3782.720275984,3047132,14.602379549,0.194833724,22198.096485339,4983.046353095,100,24.402985644
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,1990,170.959466393,311840,0.470369420,59.014369589,1217.161305069,,0.010000000,83.029653448
Sierra Leone,SLE,Sub-Saharan Africa,Low income,1990,,4312246,0.113099067,91.282152248,808.288067520,,7.081538200,43.197561651
El Salvador,SLV,Latin America & Caribbean,Lower middle income,1990,469.784684406,5254984,0.478002407,67.137035812,2937.315706659,353.378811429,72.463462830,18.194980695
San Marino,SMR,Europe & Central Asia,High income,1990,,24043,,,,,100,0
Somalia,SOM,Sub-Saharan Africa,Low income,1990,,7397347,0.099143652,87.203216525,,,0.010000000,13.201772564
Serbia,SRB,Europe & Central Asia,Upper middle income,1990,2598.793039810,7586000,,15.491652656,,4628.658054311,99.271263123,28.310084610
South Sudan,SSD,Sub-Saharan Africa,Low income,1990,,5768481,,,,,0.010000000,
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,1990,205.944474199,113893,0.418559525,50.929073956,,,42.757965088,58.333333333
Suriname,SUR,Latin America & Caribbean,Upper middle income,1990,,407472,4.346706031,,6694.728916150,,100,98.910256410
Slovak Republic,SVK,Europe & Central Asia,High income,1990,4024.669067161,5299187,,2.225335934,,5542.170902820,100,39.958419958
Slovenia,SVN,Europe & Central Asia,High income,1990,2857.564530586,1998161,,12.351950591,,5334.905445557,100,58.987090367
Sweden,SWE,Europe & Central Asia,High income,1990,5514.557530318,8558835,6.069368319,34.061991965,20107.977232839,15836.033759267,100,68.389628113
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1990,358.495941766,861373,0.493830199,85.245716436,3476.087528226,,0.010000000,27.441860465
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,1990,,,,,,,100,
Seychelles,SYC,Sub-Saharan Africa,High income,1990,540.808839397,69507,2.163048326,4.248395139,9188.613000540,,89.545585632,88.413039498
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,1990,840.845509836,12446171,3.001677865,2.360017397,,688.806220001,80.545845032,2.024159321
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,1990,,11552,2.539473684,1.792108636,,,88.7,36.210527922
Chad,TCD,Sub-Saharan Africa,Low income,1990,,5956859,0.024008122,98.163527100,717.712756096,,0.010000000,5.324809403
Togo,TGO,Sub-Saharan Africa,Low income,1990,333.578033980,3786940,0.204317206,78.701417052,836.451597320,90.574447971,0.010000000,12.594226880
Thailand,THA,East Asia & Pacific,Upper middle income,1990,741.282711938,56582821,1.604831986,33.639130921,4298.398939604,709.243535242,75.898712158,27.412946035
Tajikistan,TJK,Europe & Central Asia,Low income,1990,1004.546411170,5283728,,29.637751894,2366.483668307,3358.613463827,96.603431702,2.915118605
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,1990,4755.073472448,3683966,,0.277582764,5375.394827682,2282.865802779,98.613143921,8.782159045
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,1990,,751933,,,,,0.010000000,64.963012777
Tonga,TON,East Asia & Pacific,Upper middle income,1990,266.366420397,95153,0.809296607,1.486607998,2310.120473175,,77.799766541,12.5
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,1990,4900.006547181,1221900,13.933939766,1.193023774,7921.078925955,2682.707259187,82.700454712,46.920077378
Tunisia,TUN,Middle East & North Africa,Lower middle income,1990,600.881085736,8232797,1.611506515,14.480239139,3629.120199984,632.348884589,87.993347168,4.138774459
Turkey,TUR,Europe & Central Asia,Upper middle income,1990,977.664242367,53921699,2.705007348,24.510776957,6146.258387970,929.699933973,88.781135559,12.502111404
Tuvalu,TUV,East Asia & Pacific,Upper middle income,1990,,9003,0.814617350,0,1521.284266042,,90.701919556,33.333333333
Tanzania,TZA,Sub-Saharan Africa,Low income,1990,382.298876290,25459604,0.089011832,94.784909315,951.779533140,51.179114962,2.483708858,63.129374577
Uganda,UGA,Sub-Saharan Africa,Low income,1990,,17438907,0.043527327,96.018512874,497.322563938,,1.266457081,23.777588709
